Genetic-Algorithm-for-Max-Sum-Result

init done
454000 1540835
455000 1519311
456000 1529273
457000 1495591
458000 1527427
459000 1526517
460000 1526459
461000 1538538
462000 1526341
463000 1525918
464000 1533547
465000 1508549
466000 1506146
467000 1538334
468000 1506863
469000 1537011
470000 1525795
471000 1552024
472000 1512216
473000 1518914
474000 1525861
475000 1517372
476000 1534234
477000 1527083
478000 1504994
479000 1505021
480000 1537514
481000 1497061
482000 1524208
483000 1531832
484000 1522416
485000 1536040
486000 1543218
487000 1546933
488000 1526697
489000 1529810
490000 1532080
491000 1526830
492000 1540229
493000 1534685
494000 1552694
495000 1519942
496000 1515214
497000 1499202
498000 1513184
499000 1553702
500000 1535224
499990 : 1511220
499991 : 1509873
499992 : 1520300
499993 : 1522417
499994 : 1523852
499995 : 1526820
499996 : 1529320
499997 : 1525639
499998 : 1529005
499999 : 1530608
500000 : 1535224
total maximum : 1576457
